id,Name
https://openalex.org/I86767153,Université Jean Monnet
https://openalex.org/I4210157006,Centre Hospitalier Universitaire de Saint-Étienne
https://openalex.org/I3019848993,Mines Saint-Étienne
https://openalex.org/I4210085887,Laboratoire Hubert Curien
https://openalex.org/I154490720,École Nationale d'Ingénieurs de Saint-Étienne
https://openalex.org/I4210111688,Georges Friedel Laboratory
https://openalex.org/I4210150689,Clinique Mutualiste Chirurgicale
https://openalex.org/I4210165761,Laboratoire des Procédés en Milieux Granulaires Granulaires
https://openalex.org/I4210107543,Centre de Recherches Critiques sur le Droit
https://openalex.org/I4210113175,École Nationale Supérieure d'Architecture de Saint-Étienne
https://openalex.org/I4210089442,Aston Medical (France)
https://openalex.org/I4210106516,Laboratoire de Biotechnologies Végétales Appliquées aux Plantes Aromatiques et Médicinales
https://openalex.org/I4210104494,École Supérieure d'Art et Design de Saint-Étienne
https://openalex.org/I4210121486,Sciences Computers Consultants (France)
https://openalex.org/I4210092073,Gibaud (France)
https://openalex.org/I4210124371,Institute Of Science De La Vision
https://openalex.org/I4210150809,Comptoir Pharmaceutique & Médical (France)
